epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,655.288,1.02324,1.02337,1.26668,0.99942,0.55399,0.59491,0.58561,0.21693,0.18377,0.80721,0.0008912,0.0008912,0.0008912
58,666.675,1.02284,1.04119,1.26245,0.99125,0.56338,0.58015,0.57381,0.20576,0.18179,0.80764,0.0008714,0.0008714,0.0008714
59,677.963,1.02927,1.0484,1.27399,0.98324,0.56573,0.61531,0.60642,0.21234,0.175,0.80737,0.0008516,0.0008516,0.0008516
60,689.282,1.01506,1.03239,1.25607,1,0.5562,0.58104,0.57481,0.20527,0.17806,0.80609,0.0008318,0.0008318,0.0008318
61,700.603,1.01172,1.02875,1.25926,1,0.55623,0.58018,0.57234,0.20953,0.17995,0.80448,0.000812,0.000812,0.000812
62,711.964,1.00655,1.02319,1.2558,0.99476,0.56103,0.58915,0.58163,0.20651,0.17513,0.80505,0.0007922,0.0007922,0.0007922
63,723.23,1.00826,1.02774,1.25538,0.98351,0.55986,0.57942,0.57078,0.21098,0.18301,0.80771,0.0007724,0.0007724,0.0007724
64,734.522,1.00783,1.03157,1.26169,0.99699,0.56103,0.58233,0.57381,0.20671,0.17908,0.80609,0.0007526,0.0007526,0.0007526
65,745.941,0.99651,1.02418,1.25503,0.99906,0.55869,0.5865,0.58075,0.20125,0.17262,0.80477,0.0007328,0.0007328,0.0007328
66,757.356,0.98832,1.00159,1.2489,1,0.56075,0.60787,0.59761,0.21118,0.17635,0.80599,0.000713,0.000713,0.000713
67,767.741,1.00098,1.03268,1.25669,1,0.56063,0.61739,0.60965,0.20601,0.17112,0.80509,0.0006932,0.0006932,0.0006932
68,778.143,1.00496,1.01215,1.25867,0.99585,0.56273,0.59793,0.58868,0.20319,0.16711,0.80499,0.0006734,0.0006734,0.0006734
69,788.629,1.0028,1.00896,1.25352,0.99015,0.56338,0.59664,0.5905,0.20553,0.17411,0.80307,0.0006536,0.0006536,0.0006536
70,799.028,0.9874,0.99797,1.24511,0.99585,0.56303,0.62223,0.61793,0.19873,0.16127,0.80193,0.0006338,0.0006338,0.0006338
71,809.447,0.98564,0.99969,1.24485,0.9995,0.55869,0.62933,0.62092,0.20459,0.16819,0.80556,0.000614,0.000614,0.000614
72,819.861,0.97587,0.99404,1.24169,0.99534,0.55869,0.59637,0.58622,0.20167,0.1663,0.80157,0.0005942,0.0005942,0.0005942
73,830.308,0.98991,0.98675,1.24494,1,0.55868,0.62106,0.61328,0.19957,0.16346,0.80158,0.0005744,0.0005744,0.0005744
74,840.689,0.98201,0.9862,1.23955,0.99841,0.55869,0.62404,0.61605,0.1956,0.15719,0.80298,0.0005546,0.0005546,0.0005546
75,851.099,0.9777,0.99344,1.24074,1,0.56051,0.59606,0.58952,0.19284,0.15758,0.80183,0.0005348,0.0005348,0.0005348
76,861.584,0.97391,0.99681,1.24138,0.99921,0.55869,0.58629,0.57971,0.19129,0.16038,0.8014,0.000515,0.000515,0.000515
77,872.012,0.99107,0.99596,1.23985,0.99928,0.55869,0.60122,0.59652,0.19136,0.1583,0.80097,0.0004952,0.0004952,0.0004952
78,882.429,0.96555,0.98037,1.23405,1,0.5605,0.60606,0.60028,0.18984,0.16057,0.80173,0.0004754,0.0004754,0.0004754
79,892.84,0.97125,0.97886,1.23722,1,0.56063,0.61872,0.60967,0.18798,0.15301,0.80194,0.0004556,0.0004556,0.0004556
80,903.269,0.95938,0.97598,1.23212,0.99898,0.56103,0.61382,0.60313,0.18903,0.15595,0.80149,0.0004358,0.0004358,0.0004358
81,913.687,0.95904,0.97307,1.2322,0.99583,0.56093,0.61152,0.60206,0.18851,0.15645,0.80078,0.000416,0.000416,0.000416
82,924.103,0.96772,0.97423,1.23825,1,0.56046,0.61495,0.60924,0.19575,0.15535,0.80337,0.0003962,0.0003962,0.0003962
83,934.563,0.96278,0.9902,1.23903,0.99914,0.55869,0.60211,0.59521,0.19634,0.15324,0.80375,0.0003764,0.0003764,0.0003764
84,944.956,0.93903,0.95967,1.21728,0.99168,0.55978,0.60212,0.59355,0.18735,0.1515,0.80036,0.0003566,0.0003566,0.0003566
85,955.366,0.94763,0.95903,1.22694,1,0.56069,0.60992,0.60057,0.18668,0.14839,0.80007,0.0003368,0.0003368,0.0003368
86,965.797,0.96749,0.96929,1.23407,1,0.56043,0.61015,0.59842,0.18261,0.14785,0.79972,0.000317,0.000317,0.000317
87,976.302,0.95573,0.9651,1.22692,0.99584,0.56249,0.60782,0.59698,0.18558,0.14576,0.79971,0.0002972,0.0002972,0.0002972
88,986.688,0.93426,0.94694,1.21406,1,0.56075,0.60559,0.59562,0.18404,0.14535,0.80175,0.0002774,0.0002774,0.0002774
89,997.112,0.94637,0.94756,1.21862,1,0.56068,0.61405,0.60489,0.18165,0.14575,0.80006,0.0002576,0.0002576,0.0002576
90,1007.62,0.93508,0.95358,1.21675,0.9995,0.56103,0.60974,0.60123,0.18466,0.14704,0.79998,0.0002378,0.0002378,0.0002378
91,1018.38,0.91577,0.88752,1.20668,0.99831,0.56103,0.586,0.57798,0.18606,0.14966,0.79915,0.000218,0.000218,0.000218
92,1028.69,0.89418,0.87342,1.1933,0.99814,0.56103,0.59688,0.58744,0.18212,0.14497,0.7988,0.0001982,0.0001982,0.0001982
93,1038.99,0.89859,0.87208,1.19608,0.99833,0.56103,0.60506,0.59958,0.17994,0.14021,0.79822,0.0001784,0.0001784,0.0001784
94,1049.71,0.88843,0.85783,1.1905,0.9932,0.56103,0.60679,0.60141,0.18027,0.14112,0.79777,0.0001586,0.0001586,0.0001586
95,1060.95,0.88776,0.85563,1.18536,0.99471,0.56103,0.61192,0.60644,0.17833,0.14311,0.79818,0.0001388,0.0001388,0.0001388
96,1072.13,0.88707,0.85475,1.18953,0.99529,0.56103,0.61774,0.6066,0.17878,0.14017,0.79814,0.000119,0.000119,0.000119
97,1083.37,0.87392,0.8415,1.18183,0.99378,0.56103,0.62322,0.6121,0.17795,0.14014,0.79763,9.92e-05,9.92e-05,9.92e-05
98,1094.58,0.8711,0.8478,1.18283,0.99623,0.55869,0.6245,0.61486,0.17734,0.13705,0.79745,7.94e-05,7.94e-05,7.94e-05
99,1105.8,0.87415,0.84362,1.18253,0.99277,0.56103,0.62236,0.61266,0.1789,0.13941,0.79762,5.96e-05,5.96e-05,5.96e-05
100,1117.02,0.87351,0.84156,1.17695,1,0.56041,0.62272,0.61413,0.17691,0.13799,0.79703,3.98e-05,3.98e-05,3.98e-05
