epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2136,1.4014,1.92736,1.45829,0.9533,0.5446,0.55799,0.46346,0.61016,1.09645,0.94255,0.000663024,0.000663024,0.000663024
2,26.3491,1.38537,1.55545,1.45416,0.95598,0.52817,0.54503,0.46636,0.58969,1.22855,0.93561,0.00131653,0.00131653,0.00131653
3,38.0986,1.37427,1.50743,1.45701,0.89354,0.52817,0.53615,0.45816,0.59613,0.94973,0.93167,0.00195683,0.00195683,0.00195683
4,50.1527,1.35569,1.48826,1.45234,0.90766,0.51643,0.53542,0.45723,0.56045,0.63179,0.93437,0.0019406,0.0019406,0.0019406
5,61.5711,1.30842,1.42257,1.43321,0.96049,0.5446,0.55626,0.49837,0.48012,0.49734,0.88418,0.0019208,0.0019208,0.0019208
6,72.8765,1.28023,1.37186,1.41704,0.99152,0.54911,0.55852,0.50086,0.47406,0.4696,0.9021,0.001901,0.001901,0.001901
7,84.3081,1.25311,1.35575,1.40198,0.94285,0.53991,0.55102,0.49414,0.4783,0.46754,0.9009,0.0018812,0.0018812,0.0018812
8,96.4127,1.25413,1.33963,1.3999,0.90597,0.42254,0.45338,0.38821,0.65741,0.97337,1.03343,0.0018614,0.0018614,0.0018614
9,108.491,1.24451,1.34569,1.39936,0.96932,0.55164,0.56507,0.5195,0.38334,0.37991,0.87255,0.0018416,0.0018416,0.0018416
10,120.639,1.22128,1.30386,1.38725,0.98009,0.55164,0.56427,0.51997,0.37397,0.40314,0.85109,0.0018218,0.0018218,0.0018218
11,132.771,1.21408,1.29644,1.38177,0.98897,0.5446,0.56461,0.5235,0.38273,0.3656,0.85864,0.001802,0.001802,0.001802
12,144.931,1.20226,1.25388,1.36623,0.97285,0.55634,0.56889,0.52754,0.37454,0.3334,0.84802,0.0017822,0.0017822,0.0017822
13,157.138,1.19721,1.26829,1.37244,0.9867,0.5493,0.5617,0.52118,0.39148,0.37122,0.85515,0.0017624,0.0017624,0.0017624
14,168.668,1.19057,1.2726,1.36952,0.99128,0.5493,0.55882,0.52974,0.36634,0.35114,0.85242,0.0017426,0.0017426,0.0017426
15,180.081,1.16876,1.22636,1.3546,0.97009,0.55164,0.56109,0.53327,0.3569,0.33463,0.8509,0.0017228,0.0017228,0.0017228
16,191.483,1.16862,1.22735,1.35317,0.97679,0.55399,0.58706,0.55904,0.32442,0.29104,0.84999,0.001703,0.001703,0.001703
17,203.03,1.16534,1.23237,1.34515,0.9915,0.54733,0.59185,0.56394,0.32368,0.30862,0.84257,0.0016832,0.0016832,0.0016832
18,214.488,1.14782,1.20812,1.34492,0.991,0.5493,0.56526,0.53833,0.32306,0.30853,0.83944,0.0016634,0.0016634,0.0016634
19,225.775,1.14848,1.21513,1.34629,0.96658,0.54695,0.57295,0.55072,0.31527,0.28753,0.83836,0.0016436,0.0016436,0.0016436
20,237.125,1.14993,1.21603,1.33795,0.9911,0.55164,0.57605,0.54978,0.2989,0.27646,0.83306,0.0016238,0.0016238,0.0016238
21,248.429,1.1365,1.18922,1.33554,0.99057,0.55164,0.57473,0.55587,0.27935,0.26481,0.8235,0.001604,0.001604,0.001604
22,259.775,1.13354,1.16877,1.32832,0.98941,0.5493,0.56622,0.54386,0.31345,0.29916,0.83913,0.0015842,0.0015842,0.0015842
23,271.104,1.12316,1.16341,1.32254,0.99518,0.55399,0.56917,0.54741,0.28865,0.27282,0.82807,0.0015644,0.0015644,0.0015644
24,282.414,1.13007,1.17105,1.32537,0.98663,0.55164,0.58105,0.55848,0.29134,0.26021,0.82816,0.0015446,0.0015446,0.0015446
25,293.666,1.10937,1.15856,1.31206,0.98654,0.55164,0.57604,0.55829,0.28107,0.2546,0.83186,0.0015248,0.0015248,0.0015248
26,304.924,1.11228,1.15369,1.31763,0.99165,0.55758,0.57176,0.5552,0.27338,0.24841,0.8227,0.001505,0.001505,0.001505
27,316.214,1.10787,1.16708,1.31959,0.98974,0.55164,0.56897,0.54925,0.27747,0.27102,0.83126,0.0014852,0.0014852,0.0014852
28,327.553,1.10874,1.15624,1.31791,0.99578,0.55378,0.5816,0.56531,0.27328,0.23614,0.82965,0.0014654,0.0014654,0.0014654
29,338.862,1.113,1.14024,1.31442,0.95029,0.55164,0.56193,0.53967,0.28792,0.27294,0.83319,0.0014456,0.0014456,0.0014456
30,350.154,1.10415,1.1434,1.30968,0.99486,0.55399,0.57008,0.55433,0.25609,0.25103,0.82298,0.0014258,0.0014258,0.0014258
31,361.498,1.10932,1.14546,1.31791,0.98307,0.56103,0.57027,0.55544,0.25706,0.24752,0.82041,0.001406,0.001406,0.001406
32,372.752,1.09756,1.14164,1.31605,0.99519,0.55164,0.58915,0.57335,0.2572,0.23238,0.8218,0.0013862,0.0013862,0.0013862
33,384.032,1.09935,1.13175,1.31119,1,0.54923,0.56971,0.55399,0.25988,0.26291,0.82353,0.0013664,0.0013664,0.0013664
34,395.387,1.09905,1.13576,1.31581,0.97415,0.55869,0.5712,0.55606,0.26306,0.24079,0.81981,0.0013466,0.0013466,0.0013466
35,406.765,1.09815,1.13359,1.31248,0.98652,0.55399,0.57041,0.55469,0.25636,0.23833,0.82033,0.0013268,0.0013268,0.0013268
36,418.039,1.08199,1.12566,1.30331,0.99578,0.5538,0.57245,0.55839,0.24982,0.23496,0.82068,0.001307,0.001307,0.001307
37,429.315,1.07415,1.1074,1.30198,0.99579,0.55579,0.57131,0.56048,0.24703,0.22159,0.81449,0.0012872,0.0012872,0.0012872
38,440.631,1.08114,1.10587,1.29382,0.99924,0.55634,0.57245,0.55565,0.26252,0.23728,0.82074,0.0012674,0.0012674,0.0012674
39,451.93,1.06717,1.09344,1.28878,0.99578,0.55391,0.57213,0.55905,0.23661,0.21767,0.81552,0.0012476,0.0012476,0.0012476
40,463.201,1.05648,1.08363,1.28258,0.98644,0.55869,0.57415,0.56271,0.24051,0.22074,0.81806,0.0012278,0.0012278,0.0012278
41,474.531,1.05904,1.08582,1.28851,0.9836,0.56303,0.60929,0.59925,0.24066,0.20542,0.81529,0.001208,0.001208,0.001208
42,485.837,1.07115,1.09336,1.29087,1,0.5537,0.58975,0.58018,0.23361,0.20803,0.8156,0.0011882,0.0011882,0.0011882
43,497.088,1.05909,1.08706,1.29176,0.98686,0.56103,0.58528,0.57411,0.23515,0.19909,0.81119,0.0011684,0.0011684,0.0011684
44,508.405,1.05867,1.08681,1.29251,0.99131,0.55869,0.58305,0.56953,0.2411,0.21124,0.81719,0.0011486,0.0011486,0.0011486
45,519.68,1.0397,1.06062,1.27246,0.99432,0.55869,0.60232,0.59161,0.23437,0.20083,0.81278,0.0011288,0.0011288,0.0011288
46,530.996,1.04465,1.06705,1.27743,0.99583,0.56089,0.57644,0.56779,0.22757,0.20987,0.81027,0.001109,0.001109,0.001109
47,542.289,1.04698,1.07632,1.2804,1,0.55391,0.57834,0.56711,0.23507,0.20374,0.81543,0.0010892,0.0010892,0.0010892
48,553.652,1.05154,1.08204,1.28466,0.9985,0.55869,0.5954,0.58441,0.23071,0.19187,0.80936,0.0010694,0.0010694,0.0010694
49,564.9,1.04331,1.08108,1.28461,0.98352,0.56039,0.62525,0.61498,0.23704,0.20252,0.81769,0.0010496,0.0010496,0.0010496
50,576.165,1.0345,1.06508,1.28396,0.98586,0.55869,0.57324,0.56615,0.21857,0.20211,0.80976,0.0010298,0.0010298,0.0010298
51,587.452,1.03934,1.0675,1.27703,0.99493,0.56103,0.60057,0.59161,0.22463,0.18262,0.80933,0.00101,0.00101,0.00101
52,598.821,1.01909,1.04366,1.26801,1,0.55388,0.57239,0.56252,0.22485,0.20982,0.81039,0.0009902,0.0009902,0.0009902
53,610.13,1.03502,1.04644,1.27274,0.99035,0.56103,0.59276,0.58557,0.22185,0.18788,0.80906,0.0009704,0.0009704,0.0009704
54,621.441,1.03017,1.05071,1.26975,0.99583,0.56033,0.59364,0.58755,0.21742,0.19135,0.81267,0.0009506,0.0009506,0.0009506
55,632.784,1.0242,1.04321,1.26912,1,0.56095,0.57013,0.56256,0.2186,0.22037,0.809,0.0009308,0.0009308,0.0009308
56,644.042,1.01484,1.05079,1.26701,0.99436,0.55869,0.59099,0.58438,0.21435,0.18897,0.80943,0.000911,0.000911,0.000911
