epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1161.81,1.03834,1.0736,1.28722,0.90536,0.47938,0.54507,0.39581,1.03343,0.96385,1.25386,0.0011882,0.0011882,0.0011882
43,1188.62,1.03651,1.07212,1.28777,0.90688,0.47867,0.54458,0.39333,1.03809,0.96773,1.27071,0.0011684,0.0011684,0.0011684
44,1215.43,1.03408,1.07543,1.29081,0.90691,0.4749,0.53705,0.38227,1.05449,0.99609,1.29044,0.0011486,0.0011486,0.0011486
45,1242.32,1.0357,1.06544,1.28486,0.9227,0.47796,0.54789,0.39645,1.03214,0.9929,1.25809,0.0011288,0.0011288,0.0011288
46,1269.07,1.03216,1.06149,1.28175,0.9176,0.47407,0.54454,0.39882,1.01293,0.96316,1.24378,0.001109,0.001109,0.001109
47,1295.81,1.02679,1.05467,1.27771,0.90623,0.48091,0.54584,0.39642,1.0204,0.95314,1.25876,0.0010892,0.0010892,0.0010892
48,1322.57,1.02766,1.06135,1.28292,0.91604,0.4782,0.54597,0.39703,1.02036,0.94553,1.24478,0.0010694,0.0010694,0.0010694
49,1350.43,1.02777,1.06397,1.27698,0.92101,0.47679,0.54593,0.39797,1.02338,0.94348,1.24632,0.0010496,0.0010496,0.0010496
50,1379.21,1.02219,1.04633,1.27737,0.91966,0.47938,0.54891,0.40245,1.01469,0.93788,1.24293,0.0010298,0.0010298,0.0010298
51,1407.92,1.02156,1.05199,1.28022,0.92548,0.4771,0.54563,0.40148,1.00492,0.94844,1.24304,0.00101,0.00101,0.00101
52,1436.51,1.02795,1.05204,1.28247,0.91654,0.47384,0.54372,0.39494,1.02692,0.95198,1.26659,0.0009902,0.0009902,0.0009902
53,1465.08,1.01828,1.05876,1.27713,0.92373,0.47955,0.54602,0.39887,1.01449,0.9392,1.2477,0.0009704,0.0009704,0.0009704
54,1493.89,1.0071,1.03676,1.27524,0.92146,0.47833,0.54697,0.39859,1.01706,0.94886,1.25473,0.0009506,0.0009506,0.0009506
55,1522.57,1.01028,1.05627,1.27541,0.91164,0.47926,0.54735,0.39959,1.0116,0.9423,1.24526,0.0009308,0.0009308,0.0009308
56,1551.07,1.02016,1.05031,1.27759,0.92706,0.47928,0.54734,0.40399,0.99597,0.9373,1.22996,0.000911,0.000911,0.000911
57,1579.69,1.00934,1.04005,1.27253,0.91783,0.48067,0.5497,0.40057,1.016,0.92521,1.2538,0.0008912,0.0008912,0.0008912
58,1608.35,1.00581,1.04001,1.26786,0.92309,0.48089,0.54846,0.40315,1.00046,0.92989,1.23928,0.0008714,0.0008714,0.0008714
59,1636.96,1.0117,1.03764,1.26937,0.92487,0.48014,0.54798,0.4021,1.00091,0.93616,1.23509,0.0008516,0.0008516,0.0008516
60,1666.36,1.00524,1.03393,1.26677,0.92557,0.48506,0.55066,0.40534,0.99642,0.92207,1.22993,0.0008318,0.0008318,0.0008318
61,1694.95,0.99696,1.02963,1.26328,0.9275,0.47985,0.54942,0.40441,0.99383,0.92776,1.23042,0.000812,0.000812,0.000812
62,1724.42,1.00013,1.03623,1.26628,0.91171,0.48056,0.54571,0.39491,1.02302,0.92769,1.2557,0.0007922,0.0007922,0.0007922
63,1753.32,0.99721,1.0225,1.25683,0.93146,0.48185,0.55216,0.40465,1.00657,0.91562,1.23785,0.0007724,0.0007724,0.0007724
64,1781.95,0.99092,1.01845,1.25969,0.91833,0.47926,0.54705,0.40154,1.00487,0.92181,1.23733,0.0007526,0.0007526,0.0007526
65,1810.74,0.99956,1.02273,1.26408,0.9296,0.48103,0.55119,0.40625,0.99859,0.91319,1.23319,0.0007328,0.0007328,0.0007328
66,1839.41,0.9879,1.00145,1.25549,0.92947,0.48299,0.55156,0.40775,0.9915,0.90591,1.22312,0.000713,0.000713,0.000713
67,1868,0.99086,1.01315,1.25076,0.92577,0.48205,0.55289,0.40517,0.99653,0.90582,1.22206,0.0006932,0.0006932,0.0006932
68,1896.63,0.98037,1.00091,1.25014,0.93038,0.48374,0.5521,0.40664,0.99332,0.90593,1.22093,0.0006734,0.0006734,0.0006734
69,1925.22,0.98351,1.0104,1.25304,0.92438,0.48402,0.55081,0.4042,1.00347,0.90136,1.23301,0.0006536,0.0006536,0.0006536
70,1953.83,0.98063,0.99601,1.25152,0.91968,0.48468,0.5509,0.40431,0.99798,0.90207,1.23371,0.0006338,0.0006338,0.0006338
71,1982.51,0.97799,0.99613,1.25004,0.92801,0.48433,0.55239,0.40662,0.99224,0.90025,1.22405,0.000614,0.000614,0.000614
